g_labels,Char,x0,x1,y0,y1,height,x_center,y_center
28,"11,29",274.73306,308.136603,304.35717999999997,318.9438800000001,14.586700000000121,291.4348315,311.65053
29,"16,99",465.35067000000004,501.2922988,273.32928,287.91598,14.586700000000008,483.32148440000003,280.62262999999996
30,"13,29",275.64206,311.306545000808,105.56178999999999,120.14849,14.586700000000008,293.474302500404,112.85513999999999
31,Prinde ofertele de,15.83327,155.78367,640.57812,656.57812,16.0,85.80847,648.57812
32,12-13 octombrie,29.761569,152.550902312,592.632378,617.257655248,24.625277247999975,91.156235656,604.945016624
33,"Toate ofertele  LUNI&MARȚI, ",11.91977,114.84024209536001,62.056202,102.4242667,40.368064700000005,63.380006047680006,82.24023435000001
34,în pg. ,115.58537700000001,147.943220664,69.211493,83.503528208,14.292035208000001,131.764298832,76.357510604
35,2-7,148.54037259508002,170.85196365508003,71.51598131626001,88.11282488626001,16.596843570000004,159.69616812508002,79.81440310126001
36,Cotlet de porc ,361.94995,431.41995,417.45428,427.45428,10.0,396.68494999999996,422.45428
37,fără os,361.94995,395.51995,405.45428,415.45428,10.0,378.73495,410.45428
38,bucată ideală  pentru gătit,361.94995,414.65395,385.97076,403.57077000000004,17.600010000000054,388.30195000000003,394.770765
39,kg,361.94995,370.84595,376.37076,384.37076,8.0,366.39795000000004,380.37076
40,CRISTIM Salam  săsesc,283.06338,324.3273700000001,161.12308000000002,195.12308000000002,34.0,303.695375,178.12308000000002
41,250 g,283.06347,304.43147,151.52309,159.52309,8.0,293.74747,155.52309
42,PERSIL,469.26895,504.03895000000006,216.74048,226.74048,10.0,486.65395,221.74048
43,Detergent gel  pentru rufe,469.21896,537.42896,192.74048,214.74048,22.0,503.32395999999994,203.74048
44,universal / color 100 de utilizări,469.21905,527.75425,172.97697,190.85698,17.88001,498.48664999999994,181.91697499999998
45,5 l,469.21905,478.28305,163.37698,171.37698,8.0,473.75104999999996,167.37698
46,LUNI&  MARȚI,78.25596999999999,156.800819416748,416.58325,457.43389,40.85064,117.528394708374,437.00857
47,LUNI&  MARȚI,82.52986999999999,157.262647301074,208.8344,247.70239,38.86799000000002,119.89625865053699,228.268395
48,BARILLA Paste,207.10307,250.80307,469.73107999999996,491.73107999999996,22.0,228.95307,480.73107999999996
49,diverse  sortimente 500 g,207.10316,247.24716,440.64761,467.84759,27.19998000000004,227.17516,454.24760000000003
50,Pulpe de pui,197.88116000000002,256.40116,300.77768,310.77768,10.0,227.14116,305.77768
51,inferioare refrigerate kg,197.88116000000002,238.18436,271.41421,298.89419,27.479979999999955,218.03276,285.1542
52,BECKS Bere blondă,15.326770000000002,72.62576999999999,362.0683,384.0683,22.0,43.97626999999999,373.0683
53,"5% alcool doză 0,5 l",15.326870000000001,50.92687,332.70489,360.18487000000005,27.47998000000007,33.126870000000004,346.44488
54,MILKA Ciocolată,13.115770000000001,58.10576999999999,150.80218,172.80218,22.0,35.610769999999995,161.80218
55,diverse  sortimente 87 g - 100 g,13.115870000000001,56.89187,121.71869,148.91868,27.19999,35.00387,135.318685
56,VARTA Baterii  alcaline  Longlife,492.69687000000005,531.83687,332.23037999999997,372.23037999999997,40.0,512.26687,352.23037999999997
57,AA / AAA1 set,492.69696,529.7289599999999,315.9469,331.9469,16.0,511.21295999999995,323.9469
58,LUNI&MARȚI,28.664871,149.0073951080526,612.6998590000002,639.800842893489,27.100983893488774,88.8361330540263,626.2503509467446
59,S1-RO-KW42-KDZ-TITLU-1000-07,449.47365999999994,541.6636599999999,11.40456,17.40456,6.0,495.5686599999999,14.40456
60,1,537.7475599999999,542.0875599999999,22.67715,32.67715,9.999999999999996,539.9175599999999,27.677149999999997
