,Char,x0,x1,width,y0,y1,height
25,v,89.57861,93.15581,3.577200000000005,47.57959,54.179590000000005,6.600000000000001
26,a,92.79281,96.77261,3.9797999999999973,47.57959,54.179590000000005,6.600000000000001
27,l,96.57461,98.27741,1.7027999999999963,47.57959,54.179590000000005,6.600000000000001
28,a,98.07941,102.05921,3.9797999999999973,47.57959,54.179590000000005,6.600000000000001
29,b,101.86121,105.83441,3.9732000000000056,47.57959,54.179590000000005,6.600000000000001
30,i,105.63641,107.33261,1.6962000000000046,47.57959,54.179590000000005,6.600000000000001
31,l,107.13461000000001,108.83741,1.7027999999999963,47.57959,54.179590000000005,6.600000000000001
32,ă,108.63941,112.61921,3.9797999999999973,47.57959,54.179590000000005,6.600000000000001
33, ,112.42121,114.13721,1.715999999999994,47.57959,54.179590000000005,6.600000000000001
34,î,113.93921,115.63541000000001,1.6962000000000046,47.57959,54.179590000000005,6.600000000000001
35,n,115.43741,119.25881,3.821399999999997,47.57959,54.179590000000005,6.600000000000001
36, ,119.06081,120.77681,1.715999999999994,47.57959,54.179590000000005,6.600000000000001
37,p,120.57881,124.55201000000001,3.9732000000000056,47.57959,54.179590000000005,6.600000000000001
38,e,124.35401,128.04341,3.689399999999992,47.57959,54.179590000000005,6.600000000000001
39,r,127.84541,130.57121,2.7258000000000067,47.57959,54.179590000000005,6.600000000000001
40,i,130.37321,132.06941,1.6962000000000046,47.57959,54.179590000000005,6.600000000000001
41,o,131.87141,135.79841,3.9269999999999925,47.57959,54.179590000000005,6.600000000000001
42,a,135.60040999999998,139.58021,3.9798000000000116,47.57959,54.179590000000005,6.600000000000001
43,d,139.38221,143.38841,4.006200000000007,47.57959,54.179590000000005,6.600000000000001
44,a,143.19041,147.17021000000003,3.9798000000000116,47.57959,54.179590000000005,6.600000000000001
45,:,146.97221,148.54961,1.5774000000000115,47.57959,54.179590000000005,6.600000000000001
46, ,148.35161,150.06761,1.7160000000000082,47.57959,54.179590000000005,6.600000000000001
47,1,149.86961,152.73400999999998,2.864399999999989,47.57959,54.179590000000005,6.600000000000001
48,4,152.53601,156.58181000000002,4.045800000000014,47.57959,54.179590000000005,6.600000000000001
49,.,156.38381,157.96121000000002,1.5774000000000115,47.57959,54.179590000000005,6.600000000000001
50,1,157.76321000000002,160.62761,2.864399999999989,47.57959,54.179590000000005,6.600000000000001
51,0,160.42961,164.34341,3.913800000000009,47.57959,54.179590000000005,6.600000000000001
52, ,164.14541,165.86141,1.7160000000000082,47.57959,54.179590000000005,6.600000000000001
53,–,165.66341,168.96341,3.3000000000000114,47.57959,54.179590000000005,6.600000000000001
54, ,168.76541,170.48141,1.7160000000000082,47.57959,54.179590000000005,6.600000000000001
55,2,170.28341,174.15101,3.86760000000001,47.57959,54.179590000000005,6.600000000000001
56,0,173.92001,177.83381,3.913800000000009,47.57959,54.179590000000005,6.600000000000001
57,.,177.63581,179.21321,1.5774000000000115,47.57959,54.179590000000005,6.600000000000001
58,1,179.01521,181.87960999999999,2.864399999999989,47.57959,54.179590000000005,6.600000000000001
59,0,181.68161,185.59541000000002,3.913800000000009,47.57959,54.179590000000005,6.600000000000001
60,.,185.39741,186.97481000000002,1.5774000000000115,47.57959,54.179590000000005,6.600000000000001
61,2,186.77681,190.64441000000002,3.86760000000001,47.57959,54.179590000000005,6.600000000000001
62,0,190.41341,194.32721,3.913800000000009,47.57959,54.179590000000005,6.600000000000001
63,2,193.99721,197.86481,3.86760000000001,47.57959,54.179590000000005,6.600000000000001
64,0,197.63381,201.54761000000002,3.913800000000009,47.57959,54.179590000000005,6.600000000000001
